DATE|CUSTOMER_ID|PRODUCT_NAME|QUANTITY|AMOUNT
20260102|C001|Café Molido|10|125.50
20260102|C002|Té Verde|5|42.75
20260103|C001|Galletas|20|80.00
20260103|C003|Jamón Serrano|2|95.20
20260104|C002|Café Molido|8|100.40
20260104|C004|Limón|15|22.50
20260105|C001|Aceite|6|78.00
20260105|C005|Té Verde|10|85.50
20260106|C003|Café Molido|12|150.60
20260106|C002|Galletas|25|100.00
20260107|C004|Jamón Serrano|3|142.80
20260107|C001|Limón|20|30.00
20260108|C005|Aceite|4|52.00
20260108|C002|Café Molido|6|75.30
20260109|C003|Té Verde|8|68.40
20260109|C001|Galletas|15|60.00
20260110|C004|Café Molido|9|112.95
20260110|C005|Limón|18|27.00
20260111|C002|Jamón Serrano|1|47.60
20260111|C003|Aceite|7|91.00
20260112|C001|Té Verde|6|51.30
20260112|C004|Galletas|10|40.00
20260113|C005|Café Molido|11|138.05
20260113|C002|Limón|12|18.00
20260114|C003|Aceite|5|65.00
